any;província;nivell de formació assolit;sexe;concepte;estat;valor
2018;Barcelona;educació primària o inferior;total;població de 25 a 64 anys;;174920
2018;Barcelona;primera etapa d'educació secundària i similar;total;població de 25 a 64 anys;;851515
2018;Barcelona;segona etapa d'educació secundària i similar;total;població de 25 a 64 anys;;779050
2018;Barcelona;educació superior;total;població de 25 a 64 anys;;1347185
2018;Barcelona;total;total;població de 25 a 64 anys;;3152675
2018;Girona;educació primària o inferior;total;població de 25 a 64 anys;;38170
2018;Girona;primera etapa d'educació secundària i similar;total;població de 25 a 64 anys;;147850
2018;Girona;segona etapa d'educació secundària i similar;total;població de 25 a 64 anys;;103660
2018;Girona;educació superior;total;població de 25 a 64 anys;;136595
2018;Girona;total;total;població de 25 a 64 anys;;426275
2018;Lleida;educació primària o inferior;total;població de 25 a 64 anys;;20265
2018;Lleida;primera etapa d'educació secundària i similar;total;població de 25 a 64 anys;;83015
2018;Lleida;segona etapa d'educació secundària i similar;total;població de 25 a 64 anys;;55765
2018;Lleida;educació superior;total;població de 25 a 64 anys;;83415
2018;Lleida;total;total;població de 25 a 64 anys;;242460
2018;Tarragona;educació primària o inferior;total;població de 25 a 64 anys;;32290
2018;Tarragona;primera etapa d'educació secundària i similar;total;població de 25 a 64 anys;;155230
2018;Tarragona;segona etapa d'educació secundària i similar;total;població de 25 a 64 anys;;106185
2018;Tarragona;educació superior;total;població de 25 a 64 anys;;150685
2018;Tarragona;total;total;població de 25 a 64 anys;;444390
2018;Catalunya;educació primària o inferior;total;població de 25 a 64 anys;;265645
2018;Catalunya;primera etapa d'educació secundària i similar;total;població de 25 a 64 anys;;1237615
2018;Catalunya;segona etapa d'educació secundària i similar;total;població de 25 a 64 anys;;1044660
2018;Catalunya;educació superior;total;població de 25 a 64 anys;;1717880
2018;Catalunya;total;total;població de 25 a 64 anys;;4265800
